Suburb/Town Name,Postcode,Local Government Area,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,%_crime_change,crime_quartile,%_property_incr
Nagambie,3608,Strathbogie,3.0,6.0,28.0,45.0,12.0,11.0,7.0,35.0,93.0,40.0,1193.55,4.0,124.0
Paynesville,3880,East Gippsland,5.0,9.0,9.0,40.0,50.0,35.0,23.0,55.0,60.0,64.0,1156.86,4.0,92.58
Lyndhurst,3975,Casey,4.0,18.0,22.0,34.0,37.0,16.0,23.0,51.0,83.0,49.0,1097.56,4.0,104.09
Olinda,3788,Yarra Ranges,2.0,1.0,0.0,1.0,2.0,9.0,4.0,10.0,6.0,25.0,1095.24,4.0,89.21
Lockington,3563,Campaspe,1.0,4.0,5.0,0.0,5.0,6.0,15.0,4.0,9.0,13.0,1090.91,4.0,100.0
Leongatha,3953,South Gippsland,11.0,25.0,38.0,93.0,78.0,115.0,135.0,122.0,87.0,132.0,1090.09,4.0,80.0
Alfredton,3350,Ballarat,10.0,20.0,19.0,52.0,61.0,183.0,49.0,77.0,53.0,120.0,1089.11,4.0,93.64
Shepparton North,3631,Greater Shepparton,5.0,2.0,6.0,1.0,4.0,5.0,25.0,137.0,30.0,60.0,1078.43,4.0,89.02
Yarra Junction,3797,Yarra Ranges,3.0,14.0,18.0,23.0,20.0,25.0,37.0,67.0,33.0,36.0,1064.52,4.0,88.19
Goughs Bay,3723,Mansfield,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,1000.0,4.0,173.79
Chiltern,3683,Indigo,1.0,8.0,2.0,9.0,4.0,2.0,4.0,2.0,1.0,12.0,1000.0,4.0,128.57
Dinner Plain,3898,Alpine,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1000.0,4.0,130.77
Silverleaves,3922,Bass Coast,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1000.0,4.0,332.09
Hepburn Springs,3461,Hepburn,0.0,0.0,0.0,4.0,10.0,5.0,2.0,0.0,5.0,1.0,1000.0,4.0,150.0
Meredith,3333,Golden Plains,0.0,4.0,4.0,6.0,9.0,0.0,3.0,2.0,0.0,1.0,1000.0,4.0,84.14
Sandy Point,3959,South Gippsland,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1000.0,4.0,132.62
Hepburn,3461,Hepburn,0.0,0.0,0.0,1.0,3.0,0.0,5.0,0.0,0.0,1.0,1000.0,4.0,131.96
Sassafras,3787,Yarra Ranges,0.0,0.0,1.0,0.0,13.0,4.0,5.0,1.0,1.0,1.0,1000.0,4.0,53.91
Botanic Ridge,3977,Casey,3.0,0.0,29.0,8.0,42.0,14.0,29.0,18.0,33.0,34.0,1000.0,4.0,77.85
Seabrook,3028,Hobsons Bay,3.0,20.0,17.0,34.0,29.0,13.0,6.0,33.0,33.0,33.0,967.74,4.0,84.62
Terang,3264,Corangamite,3.0,22.0,17.0,41.0,23.0,104.0,22.0,13.0,14.0,33.0,967.74,4.0,104.33
Delacombe,3356,Ballarat,9.0,35.0,30.0,63.0,46.0,63.0,92.0,99.0,133.0,96.0,956.04,4.0,96.43
Hopetoun,3396,Yarriambiack,1.0,0.0,1.0,2.0,3.0,9.0,1.0,6.0,6.0,11.0,909.09,4.0,143.75
Lismore,3324,Corangamite,1.0,0.0,1.0,2.0,5.0,1.0,7.0,5.0,0.0,11.0,909.09,4.0,154.55
Lake Wendouree,3350,Ballarat,2.0,8.0,5.0,12.0,34.0,12.0,18.0,12.0,21.0,21.0,904.76,4.0,62.85
Attwood,3049,Hume,3.0,10.0,4.0,2.0,9.0,13.0,12.0,1.0,12.0,31.0,903.23,4.0,30.19
Brown Hill,3350,Ballarat,5.0,2.0,7.0,20.0,13.0,8.0,22.0,30.0,14.0,51.0,901.96,4.0,103.23
Whittington,3219,Greater Geelong,18.0,46.0,69.0,77.0,82.0,81.0,149.0,118.0,91.0,181.0,900.55,4.0,125.1
