Year,Local Government Area,Postcode,Suburb/Town Name,Offence Division,Offence Subdivision,Offence Count,Median
2015,Ararat,3377,Ararat,F Other offences,F30 Other government regulatory offences,3,210000.0
2015,Ararat,3377,Ararat,F Other offences,F90 Miscellaneous offences,2,210000.0
2017,Ararat,3377,Ararat,F Other offences,F90 Miscellaneous offences,2,199000.0
2018,Ararat,3377,Ararat,F Other offences,F30 Other government regulatory offences,1,199000.0
2018,Ararat,3377,Ararat,F Other offences,F90 Miscellaneous offences,3,199000.0
2019,Ararat,3377,Ararat,F Other offences,F20 Transport regulation offences,1,215000.0
2020,Ararat,3377,Ararat,F Other offences,F30 Other government regulatory offences,2,244000.0
2020,Ararat,3377,Ararat,F Other offences,F90 Miscellaneous offences,42,244000.0
2021,Ararat,3377,Ararat,F Other offences,F30 Other government regulatory offences,5,313000.0
2021,Ararat,3377,Ararat,F Other offences,F90 Miscellaneous offences,6,313000.0
2022,Ararat,3377,Ararat,F Other offences,F20 Transport regulation offences,1,340000.0
2022,Ararat,3377,Ararat,F Other offences,F90 Miscellaneous offences,3,340000.0
2018,Brimbank,3022,Ardeer,F Other offences,F90 Miscellaneous offences,2,629000.0
2020,Brimbank,3022,Ardeer,F Other offences,F90 Miscellaneous offences,11,615000.0
2021,Brimbank,3022,Ardeer,F Other offences,F90 Miscellaneous offences,3,719000.0
2022,Brimbank,3022,Ardeer,F Other offences,F90 Miscellaneous offences,2,737500.0
2013,Stonnington,3143,Armadale,F Other offences,F90 Miscellaneous offences,1,1675000.0
2014,Stonnington,3143,Armadale,F Other offences,F20 Transport regulation offences,1,1750000.0
2017,Stonnington,3143,Armadale,F Other offences,F20 Transport regulation offences,4,2300000.0
2017,Stonnington,3143,Armadale,F Other offences,F30 Other government regulatory offences,1,2300000.0
