Year,Local Government Area,Postcode,Suburb/Town Name,Offence Division,Offence Subdivision,Offence Count,Median
2016,Murrindindi,3714,Alexandra,C Drug offences,C20 Cultivate or manufacture drugs,3,275000.0
2016,Murrindindi,3714,Alexandra,C Drug offences,C30 Drug use and possession,3,275000.0
2017,Murrindindi,3714,Alexandra,C Drug offences,C10 Drug dealing and trafficking,1,291500.0
2017,Murrindindi,3714,Alexandra,C Drug offences,C20 Cultivate or manufacture drugs,1,291500.0
2017,Murrindindi,3714,Alexandra,C Drug offences,C30 Drug use and possession,7,291500.0
2018,Murrindindi,3714,Alexandra,C Drug offences,C10 Drug dealing and trafficking,4,335000.0
2018,Murrindindi,3714,Alexandra,C Drug offences,C30 Drug use and possession,13,335000.0
2019,Murrindindi,3714,Alexandra,C Drug offences,C30 Drug use and possession,5,325000.0
2020,Murrindindi,3714,Alexandra,C Drug offences,C10 Drug dealing and trafficking,3,380000.0
2020,Murrindindi,3714,Alexandra,C Drug offences,C20 Cultivate or manufacture drugs,1,380000.0
2020,Murrindindi,3714,Alexandra,C Drug offences,C30 Drug use and possession,15,380000.0
2021,Murrindindi,3714,Alexandra,C Drug offences,C10 Drug dealing and trafficking,1,440000.0
2021,Murrindindi,3714,Alexandra,C Drug offences,C20 Cultivate or manufacture drugs,1,440000.0
2021,Murrindindi,3714,Alexandra,C Drug offences,C30 Drug use and possession,3,440000.0
2022,Murrindindi,3714,Alexandra,C Drug offences,C10 Drug dealing and trafficking,1,545000.0
2022,Murrindindi,3714,Alexandra,C Drug offences,C30 Drug use and possession,5,545000.0
2013,Ballarat,3350,Alfredton,C Drug offences,C10 Drug dealing and trafficking,4,361500.0
2013,Ballarat,3350,Alfredton,C Drug offences,C20 Cultivate or manufacture drugs,1,361500.0
2013,Ballarat,3350,Alfredton,C Drug offences,C30 Drug use and possession,4,361500.0
2014,Ballarat,3350,Alfredton,C Drug offences,C10 Drug dealing and trafficking,4,362000.0
2014,Ballarat,3350,Alfredton,C Drug offences,C20 Cultivate or manufacture drugs,1,362000.0
2014,Ballarat,3350,Alfredton,C Drug offences,C30 Drug use and possession,20,362000.0
2015,Ballarat,3350,Alfredton,C Drug offences,C10 Drug dealing and trafficking,1,340500.0
2015,Ballarat,3350,Alfredton,C Drug offences,C20 Cultivate or manufacture drugs,5,340500.0
2015,Ballarat,3350,Alfredton,C Drug offences,C30 Drug use and possession,11,340500.0
2016,Ballarat,3350,Alfredton,C Drug offences,C10 Drug dealing and trafficking,1,375000.0
2016,Ballarat,3350,Alfredton,C Drug offences,C30 Drug use and possession,9,375000.0
2016,Ballarat,3350,Alfredton,C Drug offences,C90 Other drug offences,1,375000.0
2017,Ballarat,3350,Alfredton,C Drug offences,C10 Drug dealing and trafficking,1,412500.0
2017,Ballarat,3350,Alfredton,C Drug offences,C30 Drug use and possession,9,412500.0
2018,Ballarat,3350,Alfredton,C Drug offences,C30 Drug use and possession,7,439000.0
2019,Ballarat,3350,Alfredton,C Drug offences,C20 Cultivate or manufacture drugs,2,480000.0
2019,Ballarat,3350,Alfredton,C Drug offences,C30 Drug use and possession,10,480000.0
2020,Ballarat,3350,Alfredton,C Drug offences,C10 Drug dealing and trafficking,6,512000.0
2020,Ballarat,3350,Alfredton,C Drug offences,C20 Cultivate or manufacture drugs,2,512000.0
2020,Ballarat,3350,Alfredton,C Drug offences,C30 Drug use and possession,19,512000.0
2021,Ballarat,3350,Alfredton,C Drug offences,C10 Drug dealing and trafficking,1,605000.0
2021,Ballarat,3350,Alfredton,C Drug offences,C30 Drug use and possession,21,605000.0
2022,Ballarat,3350,Alfredton,C Drug offences,C10 Drug dealing and trafficking,3,700000.0
2022,Ballarat,3350,Alfredton,C Drug offences,C30 Drug use and possession,18,700000.0
2022,Ballarat,3350,Alfredton,C Drug offences,C90 Other drug offences,1,700000.0
2013,Warrnambool,3277,Allansford,C Drug offences,C10 Drug dealing and trafficking,1,310000.0
2013,Warrnambool,3277,Allansford,C Drug offences,C30 Drug use and possession,2,310000.0
2014,Warrnambool,3277,Allansford,C Drug offences,C10 Drug dealing and trafficking,1,242500.0
2015,Warrnambool,3277,Allansford,C Drug offences,C30 Drug use and possession,3,259000.0
2016,Warrnambool,3277,Allansford,C Drug offences,C30 Drug use and possession,1,275000.0
2017,Warrnambool,3277,Allansford,C Drug offences,C10 Drug dealing and trafficking,1,280000.0
2017,Warrnambool,3277,Allansford,C Drug offences,C30 Drug use and possession,1,280000.0
2018,Warrnambool,3277,Allansford,C Drug offences,C10 Drug dealing and trafficking,2,245000.0
2019,Warrnambool,3277,Allansford,C Drug offences,C30 Drug use and possession,5,300000.0
2020,Warrnambool,3277,Allansford,C Drug offences,C10 Drug dealing and trafficking,1,371000.0
2020,Warrnambool,3277,Allansford,C Drug offences,C30 Drug use and possession,1,371000.0
2021,Warrnambool,3277,Allansford,C Drug offences,C30 Drug use and possession,1,441500.0
2013,Darebin,3078,Alphington,C Drug offences,C10 Drug dealing and trafficking,5,1080000.0
2013,Darebin,3078,Alphington,C Drug offences,C30 Drug use and possession,15,1080000.0
2014,Darebin,3078,Alphington,C Drug offences,C10 Drug dealing and trafficking,2,1029000.0
2014,Darebin,3078,Alphington,C Drug offences,C30 Drug use and possession,5,1029000.0
2015,Darebin,3078,Alphington,C Drug offences,C30 Drug use and possession,3,1296500.0
2016,Darebin,3078,Alphington,C Drug offences,C10 Drug dealing and trafficking,1,1272500.0
2016,Darebin,3078,Alphington,C Drug offences,C20 Cultivate or manufacture drugs,1,1272500.0
2016,Darebin,3078,Alphington,C Drug offences,C30 Drug use and possession,18,1272500.0
2017,Darebin,3078,Alphington,C Drug offences,C10 Drug dealing and trafficking,6,1560000.0
2017,Darebin,3078,Alphington,C Drug offences,C30 Drug use and possession,8,1560000.0
2018,Darebin,3078,Alphington,C Drug offences,C30 Drug use and possession,2,1612500.0
2019,Darebin,3078,Alphington,C Drug offences,C30 Drug use and possession,4,1460000.0
2020,Darebin,3078,Alphington,C Drug offences,C30 Drug use and possession,8,1865000.0
2021,Darebin,3078,Alphington,C Drug offences,C20 Cultivate or manufacture drugs,2,2290000.0
2021,Darebin,3078,Alphington,C Drug offences,C30 Drug use and possession,6,2290000.0
2022,Darebin,3078,Alphington,C Drug offences,C10 Drug dealing and trafficking,1,1990000.0
2022,Darebin,3078,Alphington,C Drug offences,C20 Cultivate or manufacture drugs,2,1990000.0
2022,Darebin,3078,Alphington,C Drug offences,C30 Drug use and possession,4,1990000.0
2022,Darebin,3078,Alphington,C Drug offences,C90 Other drug offences,1,1990000.0
2013,Hobsons Bay,3018,Altona,C Drug offences,C10 Drug dealing and trafficking,1,575000.0
2013,Hobsons Bay,3018,Altona,C Drug offences,C20 Cultivate or manufacture drugs,2,575000.0
2013,Hobsons Bay,3018,Altona,C Drug offences,C30 Drug use and possession,40,575000.0
2014,Hobsons Bay,3018,Altona,C Drug offences,C10 Drug dealing and trafficking,2,646500.0
2014,Hobsons Bay,3018,Altona,C Drug offences,C20 Cultivate or manufacture drugs,1,646500.0
2014,Hobsons Bay,3018,Altona,C Drug offences,C30 Drug use and possession,43,646500.0
2015,Hobsons Bay,3018,Altona,C Drug offences,C10 Drug dealing and trafficking,4,718000.0
2015,Hobsons Bay,3018,Altona,C Drug offences,C20 Cultivate or manufacture drugs,4,718000.0
2015,Hobsons Bay,3018,Altona,C Drug offences,C30 Drug use and possession,27,718000.0
2016,Hobsons Bay,3018,Altona,C Drug offences,C10 Drug dealing and trafficking,5,829000.0
2016,Hobsons Bay,3018,Altona,C Drug offences,C30 Drug use and possession,24,829000.0
2017,Hobsons Bay,3018,Altona,C Drug offences,C10 Drug dealing and trafficking,1,950000.0
2017,Hobsons Bay,3018,Altona,C Drug offences,C20 Cultivate or manufacture drugs,2,950000.0
2017,Hobsons Bay,3018,Altona,C Drug offences,C30 Drug use and possession,20,950000.0
2018,Hobsons Bay,3018,Altona,C Drug offences,C10 Drug dealing and trafficking,5,932500.0
2018,Hobsons Bay,3018,Altona,C Drug offences,C20 Cultivate or manufacture drugs,2,932500.0
2018,Hobsons Bay,3018,Altona,C Drug offences,C30 Drug use and possession,25,932500.0
2019,Hobsons Bay,3018,Altona,C Drug offences,C10 Drug dealing and trafficking,5,890000.0
2019,Hobsons Bay,3018,Altona,C Drug offences,C20 Cultivate or manufacture drugs,2,890000.0
2019,Hobsons Bay,3018,Altona,C Drug offences,C30 Drug use and possession,56,890000.0
2020,Hobsons Bay,3018,Altona,C Drug offences,C10 Drug dealing and trafficking,16,917000.0
2020,Hobsons Bay,3018,Altona,C Drug offences,C20 Cultivate or manufacture drugs,1,917000.0
2020,Hobsons Bay,3018,Altona,C Drug offences,C30 Drug use and possession,67,917000.0
2020,Hobsons Bay,3018,Altona,C Drug offences,C90 Other drug offences,2,917000.0
2021,Hobsons Bay,3018,Altona,C Drug offences,C10 Drug dealing and trafficking,1,1160000.0
2021,Hobsons Bay,3018,Altona,C Drug offences,C30 Drug use and possession,32,1160000.0
2022,Hobsons Bay,3018,Altona,C Drug offences,C10 Drug dealing and trafficking,12,1018000.0
2022,Hobsons Bay,3018,Altona,C Drug offences,C20 Cultivate or manufacture drugs,3,1018000.0
2022,Hobsons Bay,3018,Altona,C Drug offences,C30 Drug use and possession,41,1018000.0
2013,Hobsons Bay,3028,Altona Meadows,C Drug offences,C10 Drug dealing and trafficking,9,390000.0
2013,Hobsons Bay,3028,Altona Meadows,C Drug offences,C20 Cultivate or manufacture drugs,14,390000.0
2013,Hobsons Bay,3028,Altona Meadows,C Drug offences,C30 Drug use and possession,41,390000.0
2014,Hobsons Bay,3028,Altona Meadows,C Drug offences,C10 Drug dealing and trafficking,4,413000.0
2014,Hobsons Bay,3028,Altona Meadows,C Drug offences,C20 Cultivate or manufacture drugs,14,413000.0
2014,Hobsons Bay,3028,Altona Meadows,C Drug offences,C30 Drug use and possession,39,413000.0
2015,Hobsons Bay,3028,Altona Meadows,C Drug offences,C10 Drug dealing and trafficking,9,440000.0
2015,Hobsons Bay,3028,Altona Meadows,C Drug offences,C20 Cultivate or manufacture drugs,7,440000.0
2015,Hobsons Bay,3028,Altona Meadows,C Drug offences,C30 Drug use and possession,34,440000.0
2016,Hobsons Bay,3028,Altona Meadows,C Drug offences,C10 Drug dealing and trafficking,4,495000.0
2016,Hobsons Bay,3028,Altona Meadows,C Drug offences,C30 Drug use and possession,38,495000.0
2017,Hobsons Bay,3028,Altona Meadows,C Drug offences,C10 Drug dealing and trafficking,5,625000.0
2017,Hobsons Bay,3028,Altona Meadows,C Drug offences,C20 Cultivate or manufacture drugs,2,625000.0
2017,Hobsons Bay,3028,Altona Meadows,C Drug offences,C30 Drug use and possession,38,625000.0
2018,Hobsons Bay,3028,Altona Meadows,C Drug offences,C10 Drug dealing and trafficking,1,631500.0
2018,Hobsons Bay,3028,Altona Meadows,C Drug offences,C20 Cultivate or manufacture drugs,3,631500.0
2018,Hobsons Bay,3028,Altona Meadows,C Drug offences,C30 Drug use and possession,50,631500.0
2019,Hobsons Bay,3028,Altona Meadows,C Drug offences,C10 Drug dealing and trafficking,5,617500.0
2019,Hobsons Bay,3028,Altona Meadows,C Drug offences,C20 Cultivate or manufacture drugs,2,617500.0
2019,Hobsons Bay,3028,Altona Meadows,C Drug offences,C30 Drug use and possession,66,617500.0
