,0
1165,Carranballac
1166,Chute
1167,Lake Goldsmith
1168,Mena Park
1169,Raglan
1170,Stockyard Hill
1171,Stoneleigh
1172,Trawalla
1173,Waterloo
1174,Barkly
1175,Landsborough
1176,Natte Yallock
1177,Rathscar
1178,Amphitheatre
1179,Glenpatrick
1180,Redbank
1181,Moonambel
1182,Allambee South
1183,Baromi
1184,Darlimurla
1185,Mirboo
1186,Jeetho
1187,Bena
1188,Korumburra South
1189,Whitelaw
1190,Arawata
1191,Jumbunna
1192,Outtrim
1193,Berrys Creek
1194,Hallston
1195,Koorooman
1196,Leongatha North
1197,Leongatha South
1198,Mardan
1199,Mount Eccles
1200,Nerrena
1201,Ruby
1202,Wild Dog Valley
1203,Koonwarra
1204,Dumbalk
1205,Dumbalk North
1206,Middle Tarwin
1207,Tarwin
1208,Tarwin Lower
1209,Walkerville North
1210,Walkerville South
1211,Stony Creek
1212,Buffalo
1213,Fish Creek
1214,Waratah Bay
1215,Foster North
1216,Mount Best
1217,Turtons Creek
1218,Wilsons Promontory
1219,Wonga
1220,Woorarra West
1221,Yanakie
1222,Agnes
1223,Toora North
1224,Woorarra East
1225,Port Franklin
1226,Binginwarri
1227,Hazel Park
1228,Hedley
1229,Poowong North
1230,Tabor
1231,Glenthompson
1232,Nareeb
1233,Moutajup
1234,Victoria Valley
1235,Woodhouse
1236,Byaduk North
1237,Bochara
1238,Buckley Swamp
1239,Byaduk
1240,Croxton East
1241,Hensley Park
1242,Strathkellar
1243,Tarrington
1244,Wannon
1245,Yulecart
1246,Bulart
1247,Cavendish
1248,Glenisla
1249,Mooralla
1250,Brit Brit
1251,Clover Flat
1252,Gringegalgona
1253,Konongwootong
1254,Melville Forest
1255,Muntham
1256,Nareen
1257,Tarrayoukyan
1258,Rocklands
1259,Balmoral
1260,Pigeon Ponds
1261,Vasey
1262,Moormbool West
1263,Tabilk
1264,Bailieston
1265,Goulburn Weir
1266,Graytown
1267,Kirwans Bridge
1268,Mitchellstown
1269,Wahring
1270,Arcadia South
1271,Upton Hill
1272,Locksley
1273,Longwood
1274,Creightons Creek
1275,Gooram
1276,Kithbrook
1277,Longwood East
1278,Miepoll
1279,Ruffy
1280,Strathbogie
1281,Boho
1282,Boho South
1283,Earlston
1284,Marraweeney
1285,Upotipotpon
1286,Freshwater Creek
1287,Barrabool
1288,Gnarwarre
1289,Bellbrae
1290,Bells Beach
1291,Boonah
1292,Deans Marsh
1293,Buckley
1294,Gherang
1295,Modewarre
1296,Moriac
1297,Mount Moriac
1298,Bambra
1299,Wensleydale
1300,Winchelsea South
1301,Murnungin
1302,Ultima
1303,Waitchie
1304,Chinkapook
1305,Manangatang
1306,Annuello
1307,Bannerton
1308,Happy Valley
1309,Liparoo
1310,Tol Tol
1311,Wemen
1312,Tresco
1313,Tresco West
1314,Castle Donnington
1315,Fish Point
1316,Goschen
1317,Nowie
1318,Bulga
1319,Murrawee
1320,Murraydale
1321,Tyntynder
1322,Tyntynder South
1323,Woorinen South
1324,Woorinen
1325,Woorinen North
1326,Beverford
1327,Vinifera
1328,Nyah
1329,Towan
1330,Wood Wood
1331,Kooloonong
1332,Lake Powell
1333,Piangil
1334,Boundary Bend
1335,Bellbridge
1336,Berringama
1337,Bethanga
1338,Talgarno
1339,Thologolong
1340,Bullioh
1341,Georges Creek
1342,Jarvis Creek
1343,Tallangatta East
1344,Dartmouth
1345,Eskdale
1346,Mitta Mitta
1347,Koetong
1348,Cudgewa
1349,Biggara
1350,Colac Colac
1351,Towong
1352,Towong Upper
1353,Tintaldra
1354,Walwa
1355,Greta
1356,Hansonville
1357,Bobinawarrah
1358,Boorhaman
1359,Bowser
1360,Byawatha
1361,Carboor
1362,Cheshunt
1363,East Wangaratta
1364,Edi
1365,Everton
1366,Everton Upper
1367,Killawarra
1368,King Valley
1369,Laceby
1370,Markwood
1371,Meadow Creek
1372,Milawa
1373,North Wangaratta
1374,Oxley
1375,Peechelba
1376,Peechelba East
1377,Rose River
1378,Tarrawingee
1379,Waldara
1380,Wangandary
1381,Wangaratta South
1382,Springhurst
1383,Boorhaman North
1384,Moyhu
1385,Myrrhee
1386,Whitfield
1387,Bowmans Forest
1388,Whorouly
1389,Eldorado
1390,Murmungee
1391,Bushfield
1392,Woodford
1393,Carrajung
1394,Carrajung Lower
1395,Nambrok
1396,Willung
1397,Willung South
1398,Airly
1399,Bundalaguah
1400,Clydebank
1401,Cobains
1402,Darriman
1403,Dutson Downs
1404,Fulham
1405,Giffard
1406,Giffard West
1407,Glomar Beach
1408,Kilmany
1409,Longford
1410,Montgomery
1411,Myrtlebank
1412,Pearsondale
1413,Seacombe
1414,Stradbroke
1415,The Heart
1416,East Sale
1417,Cowwarr
1418,Dawson
1419,Denison
1420,Glenmaggie
1421,Licola
1422,Seaton
1423,Winnindoo
1424,Maffra West Upper
1425,Newry
1426,Tinamba
1427,Tinamba West
1428,Boisdale
1429,Bushy Park
1430,Riverslea
1431,Valencia Creek
1432,Dargo
1433,Hollands Landing
1434,Meerlieu
1435,Moornapa
1436,Munro
1437,Perry Bridge
1438,Stockdale
1439,Gormandale
1440,Carrajung South
1441,McLoughlins Beach
1442,Woodside
1443,Woodside Beach
1444,Wonyip
1445,Alberton
1446,Alberton West
1447,Balook
1448,Devon North
1449,Gelliondale
1450,Hiawatha
1451,Jack River
1452,Langsborough
1453,Madalya
1454,Manns Beach
1455,Robertsons Beach
1456,Staceys Bridge
1457,Tarra Valley
1458,Tarraville
1459,Won Wron
1460,Chetwynd
1461,Dergholm
1462,Harrow
1463,Kadnook
1464,Langkoop
1465,Ullswater
1466,Apsley
1467,Bringalbert
1468,Gymbowen
1469,Nurcoung
1470,Douglas
1471,Goroke
1472,Lawloit
1473,Lillimur
1474,Serviceton
1475,Telopea Downs
1476,Woodstock
1477,Yan Yean
1478,Eden Park
1479,Humevale
1480,Barnawartha North
1481,Bonegilla
1482,Ebden
1483,Gateway Island
1484,Huon Creek
1485,Killara
1486,Laverton North
1487,Cocoroc
1488,Quandong
1489,Don Valley
1490,Hoddles Creek
1491,Wandin East
1492,Yellingbo
1493,Matlock
1494,Gruyere
1495,Yering
1496,Dixons Creek
1497,Steels Creek
1498,Tarrawarra
1499,Chum Creek
1500,Fernshaw
1501,Cambarville
1502,Macclesfield
1503,Tremont
1504,Sherbrooke
1505,Silvan
1506,Gilderoy
1507,Gladysdale
1508,Powelltown
1509,Three Bridges
1510,McMahons Creek
1511,Reefton
1512,Narre Warren East
1513,Lubeck
1514,Kewell
1515,Brim
1516,Boolite
1517,Sheep Hills
1518,Crymelon
1519,Lah
1520,Watchem West
1521,Beulah
1522,Yaapeet
1523,Woomelang
1524,Lascelles
1525,Speed
1526,Tempy
1527,Patchewollock
1528,Kergunyah South
1529,Abbeyard
1530,Dandongadale
1531,Mudgegonga
1532,Nug Nug
1533,Wonnangatta
1534,Mininera
1535,Nerrin Nerrin
1536,Westmere
1537,Middle Creek
1538,Mount Cole
1539,Tourello
1540,Glendonald
1541,Archies Creek
1542,Bravington
1543,Ferndale
1544,Seaview
1545,Allambee
1546,Boola
1547,Fumina
1548,Fumina South
1549,Tanjil
1550,Westbury
1551,Loch Valley
1552,Piedmont
1553,Toorongo
1554,Goomalibee
1555,Moorngag
1556,Winton North
1557,Boweya
1558,Glenrowan West
1559,Boxwood
1560,Reedy Dam
1561,Dooboobetic
1562,Gil Gil
1563,Jeffcott
1564,Jeffcott North
1565,Laen North
1566,Kinnabulla
1567,Narraport
1568,Banyan
1569,Bunguluke
1570,Glenloth East
1571,Wycheproof South
1572,Cokum
1573,Culgoa
1574,Boigbeat
1575,Tyrrell Downs
1576,Cornella
1577,Bamawm Extension
1578,Dewhurst
1579,Cotswold
1580,Bromley
1581,Eddington
1582,Archdale Junction
1583,Skenes Creek North
1584,Ferguson
1585,Weeaproinah
1586,Dreeite South
1587,Gerangamete
1588,Irrewillipe East
1589,Cundare North
1590,Bungador
1591,Bookaar
1592,Chocolyn
