Year,Local Government Area,Postcode,Suburb/Town Name,Offence Division,Offence Subdivision,Offence Count,Median
2017,Ballarat,3350,Alfredton,E Justice procedures offences,E10 Justice procedures,19,412500.0
2017,Ballarat,3350,Alfredton,E Justice procedures offences,E20 Breaches of orders,42,412500.0
2018,Ballarat,3350,Alfredton,E Justice procedures offences,E10 Justice procedures,8,439000.0
2018,Ballarat,3350,Alfredton,E Justice procedures offences,E20 Breaches of orders,175,439000.0
2019,Ballarat,3350,Alfredton,E Justice procedures offences,E10 Justice procedures,13,480000.0
2019,Ballarat,3350,Alfredton,E Justice procedures offences,E20 Breaches of orders,36,480000.0
2020,Ballarat,3350,Alfredton,E Justice procedures offences,E10 Justice procedures,29,512000.0
2020,Ballarat,3350,Alfredton,E Justice procedures offences,E20 Breaches of orders,48,512000.0
2021,Ballarat,3350,Alfredton,E Justice procedures offences,E10 Justice procedures,11,605000.0
2021,Ballarat,3350,Alfredton,E Justice procedures offences,E20 Breaches of orders,42,605000.0
2022,Ballarat,3350,Alfredton,E Justice procedures offences,E10 Justice procedures,18,700000.0
2022,Ballarat,3350,Alfredton,E Justice procedures offences,E20 Breaches of orders,102,700000.0
2013,Warrnambool,3277,Allansford,E Justice procedures offences,E20 Breaches of orders,6,310000.0
2014,Warrnambool,3277,Allansford,E Justice procedures offences,E20 Breaches of orders,6,242500.0
2015,Warrnambool,3277,Allansford,E Justice procedures offences,E20 Breaches of orders,8,259000.0
2016,Warrnambool,3277,Allansford,E Justice procedures offences,E20 Breaches of orders,6,275000.0
2017,Warrnambool,3277,Allansford,E Justice procedures offences,E20 Breaches of orders,1,280000.0
2019,Warrnambool,3277,Allansford,E Justice procedures offences,E20 Breaches of orders,15,300000.0
2020,Warrnambool,3277,Allansford,E Justice procedures offences,E10 Justice procedures,8,371000.0
2020,Warrnambool,3277,Allansford,E Justice procedures offences,E20 Breaches of orders,4,371000.0
2021,Warrnambool,3277,Allansford,E Justice procedures offences,E10 Justice procedures,1,441500.0
2021,Warrnambool,3277,Allansford,E Justice procedures offences,E20 Breaches of orders,5,441500.0
2022,Warrnambool,3277,Allansford,E Justice procedures offences,E10 Justice procedures,1,629000.0
2022,Warrnambool,3277,Allansford,E Justice procedures offences,E20 Breaches of orders,14,629000.0
2013,Darebin,3078,Alphington,E Justice procedures offences,E20 Breaches of orders,5,1080000.0
2014,Darebin,3078,Alphington,E Justice procedures offences,E10 Justice procedures,3,1029000.0
2014,Darebin,3078,Alphington,E Justice procedures offences,E20 Breaches of orders,17,1029000.0
2015,Darebin,3078,Alphington,E Justice procedures offences,E10 Justice procedures,1,1296500.0
2015,Darebin,3078,Alphington,E Justice procedures offences,E20 Breaches of orders,27,1296500.0
2016,Darebin,3078,Alphington,E Justice procedures offences,E10 Justice procedures,7,1272500.0
2016,Darebin,3078,Alphington,E Justice procedures offences,E20 Breaches of orders,5,1272500.0
2017,Darebin,3078,Alphington,E Justice procedures offences,E10 Justice procedures,7,1560000.0
2017,Darebin,3078,Alphington,E Justice procedures offences,E20 Breaches of orders,29,1560000.0
2018,Darebin,3078,Alphington,E Justice procedures offences,E20 Breaches of orders,5,1612500.0
2019,Darebin,3078,Alphington,E Justice procedures offences,E10 Justice procedures,2,1460000.0
2019,Darebin,3078,Alphington,E Justice procedures offences,E20 Breaches of orders,15,1460000.0
2020,Darebin,3078,Alphington,E Justice procedures offences,E10 Justice procedures,2,1865000.0
2020,Darebin,3078,Alphington,E Justice procedures offences,E20 Breaches of orders,11,1865000.0
2021,Darebin,3078,Alphington,E Justice procedures offences,E10 Justice procedures,4,2290000.0
2021,Darebin,3078,Alphington,E Justice procedures offences,E20 Breaches of orders,11,2290000.0
2022,Darebin,3078,Alphington,E Justice procedures offences,E10 Justice procedures,4,1990000.0
2022,Darebin,3078,Alphington,E Justice procedures offences,E20 Breaches of orders,7,1990000.0
